[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,0,01/01/2024,00:00 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1000,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM264,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB311,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,Quantum Design AC Module,AC_MODULE_NAME
INFO,unknown,AC_HW_VERSION
INFO,,AC_SERIAL_NUMBER
INFO,unknown,AC_SOFTWARE_VERSION
INFO,TCI264,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ZrV2_sample,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,19.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3918456149.18741,1.9293355345726,10.0867862701416,-0.00361669599060089,1.24164695180624E-6,1,2,12.8003816604614,3.00030865390278,33.4700010716915,-1.99345468016453,-0.295294037999577,10,-8.53278754207981E-6,,,,,,,,,,,,,,,,,,,,,1.92400002479553,1.93467104434967,10.0867862701416,10.0867862701416,47.5753830800243,5.04176836255416,2.56796550750732,26,1,0,0,1,0.165939331054687,27.3704795837402,6,1,1,1.93467104434967,0,742397504,1.9293355345726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456151.20878,1.93964225053787,10.0867862701416,-0.0036166793136614,1.07445889766818E-6,1,2,12.8003816604614,3.00030865390278,33.4799997508526,-1.99347122267354,-0.295116075757008,10,-8.21245441335735E-6,,,,,,,,,,,,,,,,,,,,,1.93467104434967,1.94461345672607,10.0867862701416,10.0867862701416,47.5824177366973,5.04176836255416,2.57273840904236,26,1,0,0,1,0.165939331054687,27.3704795837402,6,1,1,1.94461345672607,0,742397472,1.93964225053787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456153.23811,1.95321863889694,10.0867862701416,-0.00361588504525458,8.80056739368351E-7,1,2,12.8003816604614,3.00033909510192,33.4799997508526,-1.99303793151564,-0.295271316882453,10,-8.60013367718888E-6,,,,,,,,,,,,,,,,,,,,,1.9460164308548,1.96042084693909,10.0867862701416,10.0867862701416,47.5429454964762,5.04219242229732,2.57978105545044,26,1,0,0,1,0.167160034179687,27.8592376708984,6,1,1,1.96042084693909,0,742397472,1.95321863889694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456155.26762,1.96563047170639,10.0867862701416,-0.00361684239482291,8.928141489203E-7,1,2,12.8003816604614,3.00031658098738,33.4799997508526,-1.9934885051516,-0.295692996326039,10,-9.23252064059834E-6,,,,,,,,,,,,,,,,,,,,,1.96124088764191,1.97002005577087,10.0867862701416,10.0867862701416,47.5906248361493,5.04244803448266,2.58489394187927,26,1,0,0,1,0.165863037109375,27.3704795837402,6,1,1,1.97002005577087,0,742397536,1.96563047170639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456157.31016,1.977594435215,10.0867862701416,-0.00361678547954882,8.10113348265306E-7,1,2,12.8003816604614,3.00031658098738,33.4700010716915,-1.99350578777166,-0.295354470238566,10,-8.62684546778921E-6,,,,,,,,,,,,,,,,,,,,,1.97196388244629,1.9832249879837,10.0867862701416,10.0867862701416,47.6207175341397,5.04244803448266,2.60282850265503,26,1,0,0,1,0.163345336914062,28.3479976654053,6,1,1,1.9832249879837,0,742397472,1.977594435215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456159.3448,1.98601865768433,10.0867862701416,-0.00361609542935793,8.39139306322789E-7,1,2,12.8003816604614,3.00026410412128,33.4799997508526,-1.9930525203485,-0.29536595200228,10,-8.76481022638564E-6,,,,,,,,,,,,,,,,,,,,,1.9832249879837,1.98881232738495,10.0867862701416,10.0867862701416,47.5503709674089,5.04295296869943,2.60790061950684,26,1,0,0,1,0.165557861328125,27.3704795837402,6,1,1,1.98881232738495,0,742397504,1.98601865768433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456161.40228,1.99172866344452,10.0867862701416,-0.00361628951060616,9.3250023853728E-7,1,2,12.8003816604614,3.00027979283202,33.4700010716915,-1.99314990258291,-0.295576940251232,10,-9.11423764050844E-6,,,,,,,,,,,,,,,,,,,,,1.98881232738495,1.99464499950409,10.0867862701416,10.0867862701416,47.5738198229858,5.04298137910899,2.61117887496948,26,1,0,0,1,0.165939331054687,27.8592376708984,6,1,1,1.99464499950409,0,742397440,1.99172866344452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456163.44037,2.00051802396774,10.0867862701416,-0.00361728094930154,8.23285965227508E-7,1,2,12.8003816604614,3.00027979283202,33.4700010716915,-1.99370430403558,-0.295603342008965,10,-9.01764828230901E-6,,,,,,,,,,,,,,,,,,,,,1.99464499950409,2.0063910484314,10.0867862701416,10.0867862701416,47.5312210686877,5.04298137910899,2.61658525466919,26,1,0,0,1,0.16693115234375,27.8592376708984,6,1,1,2.0063910484314,0,742397600,2.00051802396774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456165.44208,2.0171492099762,10.0867862701416,-0.00361759310465733,8.97489190882558E-7,1,2,12.8003816604614,3.00024380727868,33.4799997508526,-1.99385773305886,-0.295459845399605,10,-8.72327913545571E-6,,,,,,,,,,,,,,,,,,,,,2.0063910484314,2.027907371521,10.0867862701416,10.0867862701416,47.6418215041589,5.04342939635868,2.62366223335266,26,1,0,0,1,0.16571044921875,28.8367557525635,6,1,1,2.027907371521,0,742397376,2.0171492099762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456167.46588,2.02893793582916,10.0867862701416,-0.00361793048420414,8.8897334671931E-7,1,2,12.8003816604614,3.00024380727868,33.4700010716915,-1.99405479028719,-0.295411169200857,10,-8.58583010890901E-6,,,,,,,,,,,,,,,,,,,,,2.027907371521,2.02996850013733,10.0867862701416,10.0867862701416,47.6246256767358,5.04342939635868,2.630295753479,26,1,0,0,1,0.166091918945313,26.881721496582,6,1,1,2.02996850013733,0,742397408,2.02893793582916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
